paper_id,scientist_id
W4229933927,A5071807924
W4229933927,A5019666205
W4229933927,A5069868913
W4229933927,A5045067310
W4229933927,A5002186164
W4400087626,A5088850900
W4400087626,A5011718437
W4400087626,A5102696341
W430011393,A5057733936
W1973826788,A5030988722
W1973826788,A5110542766
W2129537735,A5025897396
W2129537735,A5113947468
W2129537735,A5082959836
W2129537735,A5078859138
W4395438975,A5061512397
W4395438975,A5061908948
W4393183306,A5050230787
W4393183306,A5058367589
W4393183306,A5077204686
W4396831394,A5007342104
W4396831394,A5109708756
W2222702172,A5108700153
W2222702172,A5049292503
W2222702172,A5079141616
W2222702172,A5103650397
W2222702172,A5048934098
W2222702172,A5112648988
W2222702172,A5033107600
W2222702172,A5103759388
W2222702172,A5009829276
W2222702172,A5062081917
W2222702172,A5112827807
W2222702172,A5100320387
W1712757310,A5106172976
W1712757310,A5109890592
W1712757310,A5069090873
W4395196686,A5095884303
W4399578091,A5026053085
W4399578091,A5018273617
W4399578091,A5043064669
W147792004,A5105311241
W4392306314,A5009082194
W4211246989,A5023695540
W4211246989,A5031469270
W4211246989,A5023840464
W4211246989,A5020226195
W4395488713,A5086605475
W1539911878,A5085125872
W2109413851,A5103154754
W2109413851,A5101966450
W2109413851,A5103588897
W2109413851,A5090296288
W2109413851,A5048952504
W2109413851,A5002154960
W1484272304,A5034650553
W4391649568,A5046116488
W4391649568,A5023020968
W4391649568,A5025907836
W4391649568,A5086107375
W4391649568,A5049860411
W4391649568,A5077458481
W4391649568,A5010401560
W4391649568,A5059046046
W4391649568,A5055254489
W4391649568,A5008493376
W4391649568,A5054735287
W4391649568,A5040679586
W4391649568,A5019296552
W4391649568,A5031350262
W4391649568,A5026850740
W4391649568,A5042446012
W4391649568,A5022460686
W4391649568,A5110718868
W4391649568,A5004391058
W4391649568,A5006406850
W4391649568,A5008556921
W4391649568,A5030989702
W4391649568,A5087284408
W4391649568,A5016743157
W4391649568,A5019174890
W4391649568,A5031108646
W4391649568,A5000990562
W4391649568,A5023518824
W4391649568,A5067998409
W4391649568,A5029308902
W4391649568,A5032141575
W4391649568,A5040199755
W4391649568,A5009041716
W4391649568,A5073597875
W4391649568,A5079633934
W4391649568,A5022491794
W4391649568,A5075264102
W4391649568,A5073726063
W4391649568,A5046408979
W4391649568,A5029173809
W4391649568,A5005957563
W4391649568,A5014051857
W4391649568,A5072739191
W4391649568,A5090531524
W4391649568,A5001571542
W4391649568,A5066657941
W4391649568,A5030220110
W4391649568,A5089233231
W4391649568,A5034929977
W4391649568,A5053729358
W4391649568,A5024617009
W4391649568,A5015305941
W4391649568,A5040080843
W4391649568,A5050338028
W4391649568,A5040775859
W4391649568,A5030130178
W4391649568,A5066297753
W4391649568,A5069075943
W4391649568,A5049878355
W4391649568,A5005752515
W4391649568,A5040406968
W4391649568,A5005003721
W4391649568,A5003225245
W4391649568,A5072012682
W4391649568,A5031037985
W4391649568,A5054159214
W4391649568,A5050963561
W4391649568,A5085226985
W4391649568,A5089579105
W4391649568,A5075892032
W4391649568,A5024968347
W4391649568,A5078835957
W4396725743,A5062444938
W4392562160,A5078384999
W4392562160,A5111263757
W4392562160,A5100564835
W4400445037,A5046223798
W4400445037,A5006327315
W4400445037,A5109249525
W4390545247,A5070321862
W2911361414,A5071516844
W2911361414,A5008974536
W2911361414,A5047700742
W4395519122,A5044869365
W2035237805,A5111412543
W1521128975,A5103837828
W4395317764,A5068526175
W1508194135,A5013422012
W1508194135,A5080725840
W1508194135,A5079171335
W1524788453,A5109368578
W1524788453,A5044980411
W1524788453,A5037818861
W4399083018,A5101381944
W4399083018,A5098910558
W4395582956,A5095901189
W4402992091,A5107665960
W2003494253,A5109991476
W4400591407,A5065831982
W4400591407,A5102737518
W4400591407,A5080060987
W4400591407,A5101460436
W4400591407,A5051022542
W4400928626,A5113239862
W4400928626,A5042049218
W4400928626,A5099344336
W4401226312,A5105962029
W4396834099,A5034555943
W4396834099,A5031959023
W4396834099,A5108960412
W4396834099,A5113205013
W4396834099,A5081510275
W4399900763,A5113260707
W4400217631,A5099788404
W4400217631,A5099788405
W4400217631,A5099788406
W4400361567,A5030596509
W4400361567,A5003033333
W4400896559,A5104945299
W4400896559,A5101654288
W4400896559,A5056571056
W4401122848,A5105962029
W4401146808,A5109755668
W4401146808,A5101099733
W4401146808,A5009540107
W4401146808,A5056105598
W4401287805,A5026302613
W4396800642,A5113203805
W4396800642,A5034555943
W4399685394,A5099133628
W4399685394,A5014553401
W4399685394,A5013844459
W4400588278,A5104425870
W4400588278,A5062321066
W4400588278,A5028654279
W4400833987,A5104750717
W4400833987,A5104750718
W4400833987,A5109749844
W4400833987,A5111262923
W4400833987,A5104827217
W4400833987,A5104774362
W4400837307,A5104827467
W4400837307,A5042049218
W4400837307,A5099344336
W4400988476,A5108960412
W4400988476,A5034555943
W4395437824,A5095886413
W4395636896,A5053801378
W4400232689,A5013470403
W2188632414,A5063999647
W2188632414,A5048612230
W2188632414,A5103109023
W2188632414,A5037454597
W4396228980,A5076249792
W4396228980,A5078808721
W4395492310,A5095884279
W2067822693,A5056349419
W2067822693,A5084741631
W2067822693,A5053468107
W4391602018,A5100705437
W4391602018,A5016183759
W4391602018,A5025229762
W4391602018,A5102858715
W4391602018,A5054178885
W4391602018,A5036970994
W2142040044,A5041037504
W2142040044,A5063167945
W2142040044,A5034155917
W2142040044,A5082727929
W2142040044,A5026884047
W2142040044,A5040370380
W2142040044,A5025662224
W2142040044,A5031965485
W4395307930,A5095885440
W4396108480,A5013534191
W4200178834,A5114010355
W4200178834,A5014373276
W4200178834,A5006663337
W4200178834,A5013508925
W4200178834,A5073520034
W4200178834,A5068065786
W4200178834,A5094622107
W4200178834,A5094622108
W4392159830,A5062897215
W4395604123,A5085532767
W4395604123,A5095886190
W4395604123,A5085136265
W4399714287,A5090498523
W4399114252,A5112408742
W4395639093,A5095885941
W1767339332,A5033413300
W1767339332,A5013160772
W4395135914,A5095885830
W4399407564,A5006343401
W4399407564,A5101661237
W4399407564,A5100417093
W4399407564,A5037965573
W4399407564,A5058036741
W2141312052,A5112231794
W2141312052,A5025681351
W2291445757,A5055788889
W4395383960,A5095884794
W4401272513,A5106257058
W88864901,A5054352579
W4395554300,A5095901079
W4395554300,A5095886410
W4403939428,A5110809933
W4403939428,A5114474184
W2997047671,A5060269606
W1527911134,A5108787508
W4395217604,A5095884494
W4395655304,A5095901530
W2308181013,A5109956792
W1505620647,A5016223285
W1505620647,A5085160284
W4394894573,A5077063694
W4394894573,A5013573845
W4394894573,A5061974362
W4394894573,A5092247508
W4394894573,A5022331752
W4394894573,A5039134870
W4394894573,A5006552667
W4394894573,A5004566076
W4394894573,A5046071201
W4394894573,A5088898293
W4394894573,A5020492764
W4394894573,A5028044934
W4394894573,A5101426780
W4394894573,A5087582641
W4394894573,A5051258190
W4394894573,A5022099745
W4394894573,A5078014867
W4394894573,A5010950335
W4394894573,A5106716984
W4394894573,A5053699466
W4394894573,A5043923509
W4394894573,A5002120873
W4394894573,A5006705793
W4394894573,A5037824964
W4394894573,A5078862719
W4394894573,A5093467449
W4394894573,A5056238149
W4394894573,A5002069227
W4394894573,A5039532395
W4394894573,A5037659082
W4394894573,A5051591837
W4394894573,A5061105475
W4394894573,A5081906522
W4394894573,A5090684139
W4394894573,A5000043507
W4394894573,A5115593035
W4394894573,A5018689912
W4394894573,A5082925950
W4394894573,A5051432619
W4394894573,A5009139116
W4394894573,A5039855760
W4394894573,A5047490642
W4394894573,A5086359506
W4394894573,A5005157826
W4394894573,A5001504743
W4394894573,A5108040261
W4394894573,A5010826389
W4394894573,A5048320351
W4394894573,A5085129425
W4394894573,A5026144627
W4394894573,A5038672271
W4394894573,A5054406085
W4394894573,A5042246162
W4394894573,A5088148532
W4394894573,A5029961086
W4394894573,A5021587383
W4394894573,A5016414929
W4394894573,A5035602669
W4394894573,A5025295368
W4394894573,A5021553062
W4394894573,A5078832673
W4394894573,A5085934063
W4394894573,A5053772815
W4394894573,A5077329931
W4394894573,A5025581939
W4394894573,A5108982169
W4394894573,A5078571712
W4394894573,A5039387424
W4394894573,A5061574425
W4394894573,A5067108343
W4394894573,A5047615658
W4394894573,A5092486205
W4394894573,A5000415467
W4394894573,A5037982462
W4394894573,A5043120571
W4394894573,A5050120227
W4394894573,A5019938528
W4394894573,A5020183622
W4394894573,A5015796792
W4394894573,A5049793822
W4394894573,A5113963958
W4394894573,A5111968490
W4394894573,A5016580864
W4394894573,A5047221475
W4394894573,A5103642807
W4394894573,A5049575058
W4394894573,A5011663896
W4394894573,A5027753393
W4394894573,A5092612379
W4394894573,A5091863515
W4394894573,A5062793164
W4394894573,A5001187199
W4394894573,A5034555907
W4394894573,A5015428402
W4394894573,A5074484944
W4394894573,A5029068222
W4394894573,A5033486725
W4394894573,A5035782352
W4394894573,A5075730932
W4394894573,A5102376583
W4395615919,A5052246066
W1797125039,A5058751853
W1797125039,A5102975419
W1797125039,A5111488971
W4395287368,A5031964918
W4395287368,A5083479462
W4395208513,A5076965913
W2891943192,A5070324408
W4401917994,A5038822868
W4401917994,A5106756926
W4401917994,A5113351381
W4403999349,A5109368578
W4403999349,A5044980411
W4403999349,A5037818861
W4402061574,A5106845296
W4402061574,A5113358812
W4402061574,A5088636891
W4402061574,A5067283604
W4402061574,A5114217668
W4400827986,A5034364291
W4400827986,A5052769029
W4400827986,A5011002532
W4400827986,A5025189197
W4400827986,A5040754476
W4400929582,A5034364291
W4400929582,A5052769029
W4400929582,A5113301798
W4400929582,A5025189197
W4400929582,A5054250196
W4401552709,A5062230930
W4401666902,A5113241906
W4401666902,A5106582302
W4391169031,A5014267007
W4391169031,A5002226085
W4391169031,A5063062643
W4391169031,A5045050293
W4391169031,A5073142943
W4391169031,A5043242150
W4391169031,A5064919998
W4391169031,A5080901584
W4391169031,A5054480109
W4391169031,A5035161117
W4391169031,A5017138956
W4391169031,A5048896258
W4391169031,A5021756508
W4391169031,A5021298249
W4391169031,A5083801934
W4391169031,A5074482760
W4391169031,A5013058267
W4391169031,A5075996094
W4391169031,A5002323246
W4391169031,A5016472411
W4391169031,A5075169530
W4391169031,A5101699326
W4391169031,A5006828309
W4391169031,A5036283255
W4391169031,A5108519916
W4391169031,A5088788555
W4391169031,A5001737392
W4391169031,A5078661947
W4391169031,A5058229020
W4391169031,A5063788603
W4391169031,A5112739572
W4391169031,A5084051430
W4391169031,A5085376143
W4391169031,A5007306188
W4391169031,A5085159751
W4391169031,A5062644419
W4391169031,A5059416021
W4391169031,A5022358409
W4391169031,A5016191109
W4391169031,A5086073841
W4391169031,A5076062230
W4391169031,A5055337948
W4391169031,A5003032006
W4396771941,A5101350919
W4400459768,A5100286645
W4401029690,A5105425066
W4401029690,A5105425067
W4401029690,A5034482737
W4401974787,A5106785714
W4401974787,A5091904033
W4402232563,A5106991505
W4402232563,A5044800046
W4402232563,A5000073495
W4395344739,A5095884437
W4393041264,A5092991253
W4393041264,A5094211273
W4393041264,A5111186316
W4396670389,A5039994265
W4395383260,A5095885340
W4395413572,A5043653856
W4400906565,A5064748518
W4400906565,A5003351579
W4395623816,A5061902218
W4395623816,A5061512397
W1560617638,A5080134473
W4395359776,A5095886196
W2093346156,A5026228680
W4399916542,A5099382310
W4398783137,A5013550243
W4398783137,A5006684399
W4398783137,A5047582249
W4400907212,A5013858279
W4395207938,A5086778215
W4395203920,A5044869365
W4403770406,A5072470661
W4403770406,A5042183839
W4403770406,A5108538229
W2101915099,A5026940449
W4391109864,A5100678900
W4391109864,A5101476695
W4391109864,A5028026588
W4391109864,A5070980467
W4391109864,A5076320750
W4391109864,A5100408160
W4395164344,A5095885682
W3107518930,A5066953773
W3107518930,A5050276255
W4395390449,A5085532767
W4395390449,A5095886190
W4395390449,A5085136265
W4395418644,A5018726028
W1529066158,A5018891095
W1529066158,A5014245195
W4395653157,A5031964918
W4395653157,A5083479462
W1561249631,A5079597047
W4403658645,A5114366715
W4248107455,A5095483351
W4248107455,A5017459199
W4248107455,A5095483352
W4248107455,A5077535518
W4248107455,A5050678326
W4248107455,A5073716311
W4248107455,A5001543037
W4248107455,A5103766539
W4401504684,A5106450603
W4395119007,A5066449162
W4396935714,A5098536422
W4396935714,A5098658740
W4396935714,A5098360234
W4404817908,A5100590118
W4404817908,A5059052325
W1697523394,A5110461753
W4395438199,A5095886415
W1524661032,A5076354759
W4395622440,A5089891566
W3204393433,A5060190284
W3204393433,A5025595054
W3204393433,A5022901398
W4402062995,A5022422109
W4402062995,A5018063387
W4394785938,A5072645674
W4394785938,A5074309419
W4395625465,A5042391124
W4400954484,A5105018419
W4399141561,A5091126286
W1991628622,A5000480094
W1991628622,A5059446442
W4403869072,A5114438860
W4403869072,A5008903906
W4403869072,A5114438861
W4403869072,A5087137327
W4403869072,A5001377414
W1513145215,A5083734814
W4391592880,A5028511911
W4391592880,A5038609111
W4391592880,A5075081857
W4391592880,A5090959657
W4391592880,A5052059601
W4391592880,A5114115410
W4391592880,A5082097483
W4391592880,A5108734649
W4391592880,A5108449379
W4391592880,A5109691034
W4391592880,A5059068278
W4391592880,A5011069724
W4391592880,A5080386622
W4391592880,A5081040737
W4391592880,A5070970519
W4391592880,A5060169505
W4391592880,A5044832887
W4391592880,A5087824397
W4391592880,A5000364178
W4391592880,A5013141366
W4391592880,A5054187872
W4391592880,A5102848861
W4391592880,A5070639714
W4391592880,A5043846829
W4391592880,A5019999670
W4391592880,A5053405300
W4391592880,A5009242334
W4391592880,A5015709339
W4391592880,A5072395263
W1560082457,A5027452266
W1560082457,A5047358771
W1560082457,A5102950275
W4395194688,A5095884280
W4398233154,A5074857577
W2954308418,A5044869365
W4395393071,A5104287329
W4395265821,A5027205648
W4391891557,A5100040621
W4403308944,A5109017766
W4391136507,A5102930702
W4391136507,A5100407966
W4391136507,A5100700956
W4391136507,A5102024536
W4391136507,A5035082722
W4391136507,A5103056110
W4391136507,A5100353526
W4391136507,A5026595284
W4391136507,A5010758235
W4391136507,A5100685716
W4391136507,A5101538186
W4391136507,A5100333729
W4391136507,A5029392006
W4391136507,A5036357902
W4391136507,A5100636286
W4391136507,A5044651577
W4395285768,A5044869365
W4391671392,A5082848262
W4391671392,A5073808064
W4391671392,A5004337669
W4391671392,A5015041008
W4391671392,A5060064504
W4391671392,A5100724609
W4391671392,A5100361181
W4391671392,A5052103501
W4391671392,A5100685161
W4403119640,A5108545392
W4403119640,A5051753017
W4395360999,A5095884074
W4392304105,A5036942306
W4392304105,A5071992208
W4392304105,A5100636591
W4392304105,A5093229257
W4392304105,A5102917895
W4392304105,A5048641133
W4392304105,A5107928206
W4392304105,A5007907217
W4392304105,A5048514648
W4392304105,A5065963484
W4392304105,A5005293634
W4392304105,A5026527624
W4392304105,A5064175071
W4392304105,A5061675894
W4392304105,A5107869833
W4392304105,A5114098375
W4392304105,A5007228452
W4392304105,A5107850118
W4392304105,A5112037482
W4392304105,A5073509868
W4392304105,A5005019504
W4392304105,A5041630323
W4392304105,A5070803567
W4392304105,A5031009188
W4392304105,A5072296292
W4392304105,A5052109809
W4392304105,A5064218496
W4392304105,A5035870050
W4392304105,A5032612904
W4392304105,A5108145341
W4392304105,A5020599781
W4392304105,A5016936793
W4392304105,A5088103101
W4392304105,A5065980378
W4392304105,A5038981712
W4392304105,A5100713335
W4392304105,A5020167411
W4392304105,A5013597377
W4392304105,A5070143296
W4392304105,A5112039269
W4392304105,A5046914048
W4392304105,A5108242843
W4392304105,A5100436548
W4392304105,A5039174240
W4392304105,A5089328465
W4392304105,A5110966655
W4392304105,A5038454257
W4392304105,A5033801177
W4392304105,A5012406304
W4392304105,A5041505366
W4392304105,A5113043223
W4392304105,A5089703995
W4392304105,A5112068167
W4392304105,A5106825780
W4392304105,A5090892821
W4392304105,A5014605112
W4392304105,A5087555082
W4392304105,A5107829141
W4392304105,A5043133841
W4392304105,A5075301528
W4392304105,A5067605616
W4392304105,A5002199943
W4392304105,A5090101084
W4392304105,A5060739284
W4392304105,A5066795931
W4392304105,A5111499334
W4392304105,A5017967710
W4392304105,A5112573613
W4392304105,A5039541878
W4392304105,A5082531293
W4392304105,A5100743950
W4392304105,A5046145551
W4392304105,A5017219432
W4392304105,A5040508836
W4392304105,A5033414639
W4392304105,A5030844189
W4392304105,A5063332314
W4392304105,A5013079176
W4392304105,A5009250019
W4392304105,A5008092315
W4392304105,A5062590222
W4392304105,A5024261620
W4392304105,A5035907008
W4392304105,A5087188542
W4392304105,A5045355957
W4392304105,A5042699786
W4392304105,A5035552824
W4392304105,A5067357766
W4392304105,A5028858203
W4392304105,A5111836713
W4392304105,A5013659930
W4392304105,A5103450107
W4392304105,A5113130635
W4392304105,A5068305374
W4392304105,A5033522829
W4392304105,A5077909027
W4392304105,A5021440854
W4392304105,A5006979054
W4392304105,A5031169975
W4392304105,A5111138130
W4395658126,A5073077596
W4395658126,A5048373207
W4395658126,A5024904779
W4205449552,A5031853316
W2083507833,A5076476662
W1980591506,A5111411857
W4395437123,A5048118265
W4395437123,A5085136265
W2044788246,A5075949416
W2599499292,A5026046354
W2599499292,A5090577555
W2599499292,A5032165254
W2599499292,A5002545566
W2599499292,A5005376762
W1938153123,A5105252156
W3107748392,A5048537362
W4400015143,A5075127782
W4392590281,A5094098651
W4392664198,A5094119763
W4392664198,A5093024759
W4392664198,A5094119764
W1569630469,A5024539735
W1569630469,A5108437622
W4392909747,A5101731370
W4392909747,A5110885631
W4395420690,A5057678425
W4395643941,A5095883907
W4399129924,A5021921010
W4404140014,A5070593203
W4395595496,A5036584032
W4395180023,A5067078779
W4395180023,A5073077596
W4395332831,A5023373746
W4395579608,A5023373746
W4395653531,A5035662672
W216934668,A5077906043
W4395535826,A5005704091
W636562718,A5050216877
W4401892658,A5106934841
W4401892658,A5106740283
W4401892658,A5106740284
W4401892658,A5106740285
W4401892658,A5060713409
W4393858312,A5011259455
W4393858312,A5104081783
W4393858312,A5061974362
W4393858312,A5089591534
W4393858312,A5092247508
W4393858312,A5022331752
W4393858312,A5094119605
W4393858312,A5061881796
W4393858312,A5038454257
W4393858312,A5039134870
W4393858312,A5006552667
W4393858312,A5004566076
W4393858312,A5046071201
W4393858312,A5038398773
W4393858312,A5068915111
W4393858312,A5014040588
W4393858312,A5046403294
W4393858312,A5045098150
W4393858312,A5020492764
W4393858312,A5068753264
W4393858312,A5104272091
W4393858312,A5088337370
W4393858312,A5028044934
W4393858312,A5038871747
W4393858312,A5072147134
W4393858312,A5086288417
W4393858312,A5087582641
W4393858312,A5051258190
W4393858312,A5014295822
W4393858312,A5083271793
W4393858312,A5093426847
W4393858312,A5022099745
W4393858312,A5021739322
W4393858312,A5063801897
W4393858312,A5003711547
W4393858312,A5078014867
W4393858312,A5070812359
W4393858312,A5010950335
W4393858312,A5106716984
W4393858312,A5076655521
W4393858312,A5060035961
W4393858312,A5015436967
W4393858312,A5089255296
W4393858312,A5075629581
W4393858312,A5043923509
W4393858312,A5002120873
W4393858312,A5006705793
W4393858312,A5089232733
W4393858312,A5037824964
W4393858312,A5103282409
W4393858312,A5032966392
W4393858312,A5012384149
W4393858312,A5038241982
W4393858312,A5011259051
W4393858312,A5064457041
W4393858312,A5041858336
W4393858312,A5030849191
W4393858312,A5049183528
W4393858312,A5087075969
W4393858312,A5056238149
W4393858312,A5010778152
W4393858312,A5043133312
W4393858312,A5053992272
W4393858312,A5002806763
W4393858312,A5043494932
W4393858312,A5039532395
W4393858312,A5022120849
W4393858312,A5067679041
W4393858312,A5056919645
W4393858312,A5037659082
W4393858312,A5051591837
W4393858312,A5061105475
W4393858312,A5052478560
W4393858312,A5076729140
W4393858312,A5081906522
W4393858312,A5100647892
W4393858312,A5109470526
W4393858312,A5086344154
W4393858312,A5090684139
W4393858312,A5052175315
W4393858312,A5033578852
W4393858312,A5000043507
W4393858312,A5101327640
W4393858312,A5052400553
W4393858312,A5042862791
W4393858312,A5017298371
W4393858312,A5018689912
W4393858312,A5082266211
W4393858312,A5068723245
W4393858312,A5080884176
W4393858312,A5082925950
W4393858312,A5074539440
W4393858312,A5051432619
W4393858312,A5067067848
W4393858312,A5044967077
W4393858312,A5009139116
W4393858312,A5009474972
W4393858312,A5039855760
W4393858312,A5029354429
W4393858312,A5047490642
W636633373,A5063813970
W4395316641,A5095885540
W1585962948,A5030747987
W1585962948,A5019768182
W1585962948,A5018213798
W1585962948,A5061044862
W2287213645,A5112048728
W2287213645,A5109274230
W2287213645,A5046177367
W2287213645,A5044037473
W2287213645,A5112784428
W2287213645,A5035001059
W2287213645,A5111705391
W1487422198,A5053979512
W1487422198,A5045823144
W1487422198,A5014563876
W4395501130,A5044869365
W16884164,A5036638389
W16884164,A5021609657
W16884164,A5037337942
W16884164,A5102034782
W16884164,A5108127243
W16884164,A5073325531
W16884164,A5018550053
W16884164,A5035088085
W4399074339,A5098907890
W4395434350,A5095884147
W4395302947,A5044869365
W1631191700,A5004098388
W4392249452,A5001508681
W4396946025,A5082018855
W4396946025,A5029226649
W4396946025,A5091863515
W4396946025,A5108145190
W4396946025,A5102838811
W4396946025,A5092247508
W4396946025,A5022331752
W4396946025,A5094119605
W4396946025,A5055560479
W4396946025,A5061881796
W4396946025,A5039236303
W4396946025,A5038454257
W4396946025,A5006552667
W4396946025,A5046071201
W4396946025,A5026545884
W4396946025,A5068915111
W4396946025,A5046403294
W4396946025,A5045098150
W4396946025,A5020492764
W4396946025,A5068753264
W4396946025,A5088337370
W4396946025,A5015653535
